Date_GMT,Time_GMT,Date_Local,Time_Local,ToolTS,Job,SliderSN,Blade Slot,DQST_Reader1_Prime,Tool_TS,Test_Cyl,Test_Head,V_STO,I_STO,R_STO,R_MEMS,SIP_mW,SIP_nm,RTFC_DAC,WTFC_DAC,Base747,ReaderSelection,SqzDirection,SER,KFCI,MCW
3.70E+09,2:06:20,4/24/2021,10:06:20,04/24/2021-10:06:20,47337304,4BC590AB34,1,,05 16 2021-02:53:59,300132,0,-52,-10,5.2051,21.48477438,1.588860973,0.09056874,640,602,G747SCS,R0R1,IDOD,-2.14,1826,55.44615744
4/24/2021,10:07:40,4/24/2021,18:07:40,04/24/2021-18:07:40,54734024,4BC590B121,1,,05 16 2021-06:55:33,300132,0,-48,-10,4.8907,21.49515935,1.496486641,0.08509818,636,596,G747SCS,R0R1,IDOD,-1.85,1926,55.30007023
4/24/2021,9:45:15,4/24/2021,17:45:15,04/24/2021-17:45:15,54734024,4BC590B134,1,,05 16 2021-04:12:54,300132,0,-49,-10,4.9,21.20837438,1.406968711,0.08526,570,530,G747SCS,R0R1,IDOD,-1.62,2026,58.3417207
4/24/2021,10:45:05,4/24/2021,18:45:05,04/24/2021-18:45:05,51967174,4BC590B712,1,,05 16 2021-01:28:30,300132,0,-54,-10,5.4304,21.52289087,1.777659371,0.09448896,572,539,G747SCS,R0R1,IDOD,-1.38,2126,60.37896456
3.70E+09,3:14:27,4/24/2021,11:14:27,04/24/2021-11:14:27,52230704,4BC590B722,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.17,2226,63.59861826
4/24/2021,11:00:31 AM,4/24/2021,7:00:31 PM,04/24/2021-19:00:31,52230704,4BC590E125,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.02,2326,65.55634151
3.70E+09,3:05:12 AM,4/24/2021,11:05:12 AM,04/24/2021-11:05:12,52230704,4BC591A708,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.87,2426,67.34889808
4/24/2021,10:14:54 AM,4/24/2021,6:14:54 PM,04/24/2021-18:14:54,52230704,4BC591A710,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.78,2526,70.49705953
3.70E+09,2:46:50 AM,4/24/2021,10:46:50 AM,04/24/2021-10:46:50,52230704,4BC591A720,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.53,1826,54.83467251
4/24/2021,10:05:52 AM,4/24/2021,6:05:52 PM,04/24/2021-18:05:52,52230704,4BC591A722,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.16,1926,56.80969151
3.70E+09,2:16:39 AM,4/24/2021,10:16:39 AM,04/24/2021-10:16:39,52230704,4BC592F718,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.9,2026,58.88294533
4/24/2021,9:53:33 AM,4/24/2021,5:53:33 PM,04/24/2021-17:53:33,52230704,4BC592F718,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.63,2126,61.46201374
3.70E+09,2:28:29 AM,4/24/2021,10:28:29 AM,04/24/2021-10:28:29,52230704,4BC592F734,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.39,2226,63.60390413
4/24/2021,11:26:12 AM,4/24/2021,7:26:12 PM,04/24/2021-19:26:12,52230704,4BC593AB09,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.22,2326,66.6074606
4/24/2021,11:19:35 AM,4/24/2021,7:19:35 PM,04/24/2021-19:19:35,52230704,4BC593AB2A,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.06,2426,69.8974905
3.70E+09,3:23:42 AM,4/24/2021,11:23:42 AM,04/24/2021-11:23:42,52230704,4BC593AB2C,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.91,2526,70.96254901
4/24/2021,11:19:05 AM,4/24/2021,7:19:05 PM,04/24/2021-19:19:05,52230704,4BC593AB2C,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.49,1826,54.80522915
4/24/2021,11:40:15 AM,4/24/2021,7:40:15 PM,04/24/2021-19:40:15,52230704,4BC593AB27,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.16,1926,56.79985474
4/24/2021,11:10:16 AM,4/24/2021,7:10:16 PM,04/24/2021-19:10:16,52230704,4BC593B71C,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.89,2026,59.00862674
3.70E+09,2:19:24 AM,4/24/2021,10:19:24 AM,04/24/2021-10:19:24,52230704,4BC593B106,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.62,2126,62.12788092
4/24/2021,10:33:22 AM,4/24/2021,6:33:22 PM,04/24/2021-18:33:22,52230704,4BC593B707,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.38,2226,65.01296002
3.70E+09,2:49:03 AM,4/24/2021,10:49:03 AM,04/24/2021-10:49:03,52230704,4BC593B715,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.21,2326,65.62033443
3.70E+09,2:30:40 AM,4/24/2021,10:30:40 AM,04/24/2021-10:30:40,52230704,4BC593E730,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.05,2426,68.03546528
3.70E+09,2:28:28 AM,4/24/2021,10:28:28 AM,04/24/2021-10:28:28,52230704,4BC5931B03,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.91,2526,71.75518533
4/24/2021,11:03:27 AM,4/24/2021,7:03:27 PM,04/24/2021-19:03:27,52230704,4BC590813A,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.33,1826,56.72951465
3.70E+09,1:31:53 AM,4/24/2021,9:31:53 AM,04/24/2021-09:31:53,52230704,4BC592311D,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.02,1926,58.04748533
4/24/2021,10:12:20 AM,4/24/2021,6:12:20 PM,04/24/2021-18:12:20,52230704,4BC593872B,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.75,2026,58.35301349
4/24/2021,9:26:06 AM,4/24/2021,5:26:06 PM,04/24/2021-17:26:06,52230704,4BC5902138,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.48,2126,59.68137008
3.70E+09,2:58:18 AM,4/24/2021,10:58:18 AM,04/24/2021-10:58:18,52230704,4BC5908106,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.24,2226,63.33965943
3.70E+09,3:44:54 AM,4/24/2021,11:44:54 AM,04/24/2021-11:44:54,52230704,4BC5908107,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.09,2326,65.3250886
3.70E+09,3:07:29 AM,4/24/2021,11:07:29 AM,04/24/2021-11:07:29,52230704,4BC5908127,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.93,2426,69.07909597
4/24/2021,11:07:47 AM,4/24/2021,7:07:47 PM,04/24/2021-19:07:47,52230704,4BC5908127,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.82,2526,69.41261923
4/24/2021,10:49:25 AM,4/24/2021,6:49:25 PM,04/24/2021-18:49:25,52230704,4BC5908136,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.23,1826,56.18041847
3.70E+09,3:11:53 AM,4/24/2021,11:11:53 AM,04/24/2021-11:11:53,52230704,4BC5908708,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2,1926,55.87973898
3.70E+09,3:54:57 AM,4/24/2021,11:54:57 AM,04/24/2021-11:54:57,52230704,4BC5908710,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.73,2026,59.79513168
3.70E+09,1:45:23 AM,4/24/2021,9:45:23 AM,04/24/2021-09:45:23,52230704,4BC5908712,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.5,2126,61.32184169
4/24/2021,10:31:03 AM,4/24/2021,6:31:03 PM,04/24/2021-18:31:03,52230704,4BC5908721,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.27,2226,63.99737802
4/24/2021,10:42:18 AM,4/24/2021,6:42:18 PM,04/24/2021-18:42:18,52230704,4BC5908722,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.11,2326,65.71161983
4/24/2021,10:26:21 AM,4/24/2021,6:26:21 PM,04/24/2021-18:26:21,52230704,4BC5911708,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.96,2426,68.99967453
4/24/2021,9:36:58 AM,4/24/2021,5:36:58 PM,04/24/2021-17:36:58,52230704,4BC5914118,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.85,2526,70.41935974
3.70E+09,3:16:39 AM,4/24/2021,11:16:39 AM,04/24/2021-11:16:39,52230704,4BC5914708,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.44,1826,56.29597506
3.70E+09,2:10:19 AM,4/24/2021,10:10:19 AM,04/24/2021-10:10:19,52230704,4BC5914729,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.18,1926,59.36878717
3.70E+09,1:42:49 AM,4/24/2021,9:42:49 AM,04/24/2021-09:42:49,52230704,4BC5923124,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.92,2026,60.28090009
3.70E+09,1:54:31 AM,4/24/2021,9:54:31 AM,04/24/2021-09:54:31,52230704,4BC5923130,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.67,2126,61.55158872
3.70E+09,2:53:26 AM,4/24/2021,10:53:26 AM,04/24/2021-10:53:26,52230704,4BC5923730,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.39,2226,63.43659764
4/24/2021,9:23:29 AM,4/24/2021,5:23:29 PM,04/24/2021-17:23:29,52230704,4BC5926110,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.24,2326,65.23529246
3.70E+09,3:34:03 AM,4/24/2021,11:34:03 AM,04/24/2021-11:34:03,52230704,4BC5926133,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.06,2426,69.03023564
3.70E+09,1:22:20 AM,4/24/2021,9:22:20 AM,04/24/2021-09:22:20,52230704,4BC5929134,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-0.92,2526,71.28597414
3.70E+09,2:56:05 AM,4/24/2021,10:56:05 AM,04/24/2021-10:56:05,52230704,4BC5935722,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.79,1826,57.65370383
4/24/2021,10:24:07 AM,4/24/2021,6:24:07 PM,04/24/2021-18:24:07,52230704,4BC5935725,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.49,1926,59.61519136
3.70E+09,1:57:16 AM,4/24/2021,9:57:16 AM,04/24/2021-09:57:16,52230704,4BC5935731,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.22,2026,60.13269087
4/24/2021,10:51:49 AM,4/24/2021,6:51:49 PM,04/24/2021-18:51:49,52230704,4BC5938115,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.95,2126,64.34364325
3.70E+09,1:48:11 AM,4/24/2021,9:48:11 AM,04/24/2021-09:48:11,52230704,4BC5938733,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.65,2226,65.1924957
3.70E+09,2:35:03 AM,4/24/2021,10:35:03 AM,04/24/2021-10:35:03,52230704,4BC5938736,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.45,2326,65.79754501
3.70E+09,2:08:34 AM,4/24/2021,10:08:34 AM,04/24/2021-10:08:34,52230704,4BC5941133,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.24,2426,70.41219803
4/24/2021,11:21:49 AM,4/24/2021,7:21:49 PM,04/24/2021-19:21:49,52230704,4BC5941733,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.09,2526,71.62378879
4/24/2021,10:14:58 AM,4/24/2021,6:14:58 PM,04/24/2021-18:14:58,52230704,54CD20B52D,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.72,1826,56.63480651
3.70E+09,1:10:15 AM,4/24/2021,9:10:15 AM,04/24/2021-09:10:15,52230704,54CD20B52F,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.45,1926,58.22144202
4/24/2021,10:03:05 AM,4/24/2021,6:03:05 PM,04/24/2021-18:03:05,52230704,54CD20B530,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.11,2026,62.16800253
4/24/2021,10:17:10 AM,4/24/2021,6:17:10 PM,04/24/2021-18:17:10,52230704,54CD20B536,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.83,2126,61.91603478
4/24/2021,10:05:32 AM,4/24/2021,6:05:32 PM,04/24/2021-18:05:32,52230704,54CD20B537,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.53,2226,63.76090612
4/24/2021,9:56:45 AM,4/24/2021,5:56:45 PM,04/24/2021-17:56:45,52230704,54CD20B538,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.34,2326,66.63272038
4/24/2021,11:46:24 AM,4/24/2021,7:46:24 PM,04/24/2021-19:46:24,52230704,54CD21D32F,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.16,2426,70.54273482
3.70E+09,1:57:07 AM,4/24/2021,9:57:07 AM,04/24/2021-09:57:07,52230704,54CD21D50D,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-1.01,2526,72.70569134
4/24/2021,11:38:01 AM,4/24/2021,7:38:01 PM,04/24/2021-19:38:01,52230704,54CD21D50D,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.42,1826,54.77898679
4/24/2021,12:33:00 PM,4/24/2021,8:33:00 PM,04/24/2021-20:33:00,52230704,54CD21D52F,1,,05 16 2021-00:37:44,300132,0,-49,-10,4.9689,21.52902844,1.569377195,0.08645886,804,769,G747SCS,R0R1,IDOD,-2.08,1926,56.30467306
